ano,id_municipio,expectativa_anos_estudo,taxa_analfabetismo_15_a_17,taxa_atraso_0_medio,taxa_freq_bruta_medio,taxa_freq_15_17,indice_gini,idhm_e,idhm_l,idhm_r
2010,1505304,9.32,3.23,63.11,67.18,84.7,0.64,0.52,0.778,0.599
2010,1505403,8.43,3.98,61.19,64.87,84.14,0.62,0.438,0.727,0.575
2010,1505437,7.72,3.68,73.0,41.08,69.73,0.55,0.467,0.795,0.653
2010,1505486,6.55,5.65,61.79,36.93,70.58,0.65,0.338,0.746,0.541
2010,1505494,8.36,6.23,69.62,47.06,83.03,0.55,0.467,0.761,0.574
2010,1505502,8.52,2.8,69.23,65.32,77.76,0.6,0.514,0.781,0.667
2010,1505536,9.26,1.97,63.93,73.2,81.19,0.53,0.644,0.809,0.701
2010,1505551,8.29,4.36,50.27,59.69,85.05,0.51,0.443,0.748,0.571
2010,1505601,8.65,4.22,42.57,60.62,78.87,0.55,0.478,0.754,0.543
2010,1505635,7.81,4.99,61.89,55.98,81.92,0.52,0.402,0.792,0.561
2010,1505650,8.33,3.66,68.1,43.57,73.53,0.59,0.404,0.77,0.541
2010,1505700,7.17,3.5,68.1,50.23,75.17,0.61,0.412,0.773,0.558
2010,1505809,6.19,12.28,45.5,39.6,74.91,0.64,0.286,0.767,0.513
2010,1505908,6.49,9.67,47.36,37.62,73.3,0.59,0.322,0.77,0.512
2010,1506005,7.18,5.92,54.87,42.18,71.53,0.68,0.359,0.779,0.512
2010,1506104,7.62,4.1,59.57,70.91,82.22,0.65,0.435,0.772,0.571
2010,1506112,7.21,4.94,79.52,47.76,80.91,0.6,0.397,0.732,0.55
2010,1506138,9.63,2.3,69.83,76.4,79.08,0.53,0.561,0.804,0.674
2010,1506161,8.79,2.01,53.56,50.51,80.92,0.53,0.495,0.804,0.651
2010,1506187,8.15,3.83,54.64,53.72,74.75,0.54,0.457,0.788,0.606
2010,1506195,6.5,3.23,64.45,43.61,66.17,0.57,0.392,0.764,0.548
2010,1506203,9.17,2.45,53.93,87.54,86.66,0.52,0.541,0.798,0.628
2010,1506302,8.6,2.43,46.87,63.81,81.1,0.57,0.488,0.793,0.58
2010,1506351,8.88,2.1,60.57,62.68,85.35,0.52,0.546,0.784,0.575
2010,1506401,7.64,3.78,55.86,47.91,74.19,0.49,0.461,0.775,0.483
2010,1506500,9.38,2.48,61.56,78.12,83.11,0.51,0.576,0.798,0.622
2010,1506559,8.16,7.02,63.89,50.13,80.39,0.56,0.424,0.724,0.53
2010,1506583,7.36,5.69,53.56,46.5,80.37,0.56,0.37,0.783,0.555
2010,1506609,8.04,4.88,56.58,61.02,86.93,0.52,0.471,0.764,0.595
2010,1506708,8.19,2.74,59.91,67.37,78.89,0.46,0.478,0.774,0.591
2010,1506807,10.26,1.31,64.9,86.65,84.31,0.58,0.648,0.807,0.632
2010,1506906,8.35,3.05,44.88,84.34,92.29,0.56,0.502,0.774,0.52
2010,1507003,9.61,2.72,54.09,77.35,85.87,0.52,0.561,0.753,0.598
2010,1507102,8.97,3.32,48.9,71.85,90.59,0.48,0.473,0.767,0.552
2010,1507151,8.08,4.47,67.15,64.0,76.19,0.59,0.451,0.738,0.629
2010,1507201,7.35,4.42,51.67,54.15,84.71,0.6,0.382,0.773,0.509
2010,1507300,6.45,3.82,61.03,55.86,69.05,0.62,0.411,0.798,0.638
2010,1507409,9.51,2.57,65.56,58.72,84.85,0.48,0.502,0.785,0.571
2010,1507458,7.54,3.73,57.71,54.59,84.12,0.53,0.447,0.793,0.594
2010,1507466,8.18,4.61,46.81,76.87,79.18,0.51,0.495,0.767,0.522
2010,1507474,7.61,4.54,45.31,61.98,81.63,0.58,0.393,0.753,0.529
2010,1507508,7.3,6.51,56.85,39.54,75.4,0.55,0.424,0.741,0.53
2010,1507607,7.82,3.58,49.73,55.26,82.71,0.53,0.471,0.752,0.582
2010,1507706,7.88,4.36,75.07,41.35,70.12,0.54,0.439,0.76,0.52
2010,1507755,7.93,3.29,57.9,34.61,85.61,0.52,0.405,0.792,0.639
2010,1507805,7.56,5.12,42.07,40.34,70.4,0.54,0.338,0.754,0.533
2010,1507904,8.68,3.21,67.92,67.58,82.1,0.52,0.525,0.76,0.583
2010,1507953,7.74,3.18,59.7,68.78,73.16,0.52,0.45,0.776,0.583
2010,1507961,8.99,2.47,68.39,66.87,86.41,0.54,0.536,0.743,0.555
2010,1507979,9.33,1.56,60.13,73.1,87.11,0.58,0.558,0.763,0.602
2010,1508001,8.32,4.03,44.81,49.3,80.27,0.54,0.424,0.798,0.596
2010,1508035,7.79,6.67,48.78,54.03,79.29,0.59,0.376,0.776,0.514
2010,1508050,7.28,3.55,49.86,53.37,69.43,0.55,0.392,0.763,0.594
2010,1508084,8.02,1.18,62.74,43.49,77.38,0.53,0.525,0.813,0.67
2010,1508100,8.6,1.89,57.2,63.09,82.82,0.57,0.548,0.8,0.675
2010,1508126,6.9,3.28,60.26,57.83,65.2,0.7,0.425,0.759,0.682
2010,1508159,7.81,3.29,55.62,45.93,67.82,0.57,0.42,0.798,0.609
2010,1508209,8.75,2.67,60.39,73.49,83.15,0.5,0.516,0.768,0.594
